t,curve0,curve1,curve2,curve3,curve4,curve5
0.08000000000000007,0.997823544994292,0.9962196255920777,1.0,1.0,0.9967976283857305,1.0
0.09999999999999964,0.9978535454072117,0.9965976009664331,1.0,1.0,0.9970026982118885,1.0
0.120000000000001,0.997904184733702,0.9999839618865272,1.0,1.0,0.9986794561411475,1.0
0.14000000000000057,0.9979935023330707,1.0,1.0,1.0,1.0,1.0
0.16000000000000014,0.9981776410204829,1.0,1.0,1.0,1.0,1.0
0.17999999999999972,0.9998865438232456,1.0,1.0,1.0,1.0,1.0
0.20000000000000107,1.0,1.0,1.0,1.0,1.0,1.0
0.22000000000000064,1.0,1.0,1.0,1.0,1.0,1.0
0.2400000000000002,1.0,1.0,1.0,1.0,1.0,1.0
0.2599999999999998,1.0,1.0,1.0,1.0,1.0,1.0
0.27999999999999936,1.0,1.0,1.0,1.0,1.0,1.0
0.3000000000000007,1.0,1.0,1.0,1.0,1.0,1.0
0.3200000000000003,1.0,1.0,1.0,1.0,1.0,1.0
0.33999999999999986,1.0,1.0,1.0,1.0,1.0,1.0
0.35999999999999943,1.0,1.0,1.0,1.0,1.0,1.0
0.3800000000000008,1.0,1.0,1.0,1.0,1.0,1.0
0.40000000000000036,1.0,1.0,1.0,1.0,1.0,1.0
0.41999999999999993,1.0,1.0,1.0,1.0,1.0,1.0
0.4399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
0.46000000000000085,1.0,1.0,1.0,0.9957356964087325,1.0,1.0
0.4800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
0.5,1.0,1.0,1.0,1.0,1.0,1.0
0.5199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
0.5400000000000009,1.0,1.0,1.0,1.0,1.0,1.0
0.5600000000000005,1.0,1.0,1.0,1.0,1.0,1.0
0.5800000000000001,1.0,1.0,1.0,1.0,1.0,1.0
0.5999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
0.620000000000001,1.0,1.0,1.0,1.0,1.0,1.0
0.6400000000000006,1.0,1.0,1.0,1.0,1.0,1.0
0.6600000000000001,1.0,1.0,1.0,1.0,1.0,1.0
0.6799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
0.7000000000000011,1.0,1.0,1.0,1.0,1.0,1.0
0.7200000000000006,1.0,1.0,1.0,1.0,1.0,1.0
0.7400000000000002,1.0,1.0,1.0,1.0,1.0,1.0
0.7599999999999998,1.0,1.0,1.0,1.0,1.0,1.0
0.7799999999999994,1.0,1.0,1.0,1.0,1.0,1.0
0.8000000000000007,1.0,1.0,1.0,1.0,1.0,1.0
0.8200000000000003,1.0,1.0,1.0,1.0,1.0,1.0
0.8399999999999999,1.0,1.0,1.0,1.0,1.0,1.0
0.8599999999999994,1.0,1.0,1.0,1.0,1.0,1.0
0.8800000000000008,1.0,1.0,1.0,1.0,1.0,1.0
0.9000000000000004,1.0,1.0,1.0,1.0,1.0,1.0
0.9199999999999999,1.0,1.0,1.0,0.9958373435873304,1.0,1.0
0.9399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
0.9600000000000009,1.0,1.0,1.0,1.0,1.0,1.0
0.9800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
1.040000000000001,1.0,1.0,1.0,1.0,1.0,1.0
1.0600000000000005,1.0,1.0,1.0,1.0,1.0,1.0
1.08,1.0,1.0,1.0,1.0,1.0,1.0
1.0999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
1.120000000000001,1.0,1.0,1.0,1.0,1.0,1.0
1.1400000000000006,1.0,1.0,1.0,1.0,1.0,1.0
1.1600000000000001,1.0,1.0,1.0,1.0,1.0,1.0
1.1799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
1.200000000000001,1.0,1.0,1.0,1.0,1.0,1.0
1.2200000000000006,1.0,1.0,1.0,1.0,1.0,1.0
1.2400000000000002,1.0,1.0,1.0,1.0,1.0,1.0
1.2599999999999998,1.0,1.0,1.0,1.0,1.0,1.0
1.2799999999999994,1.0,1.0,1.0,1.0,1.0,1.0
1.3000000000000007,1.0,1.0,1.0,1.0,1.0,1.0
1.3200000000000003,1.0,1.0,1.0,1.0,1.0,1.0
1.3399999999999999,1.0,1.0,1.0,1.0,1.0,1.0
1.3599999999999994,1.0,1.0,1.0,1.0,1.0,1.0
1.3800000000000008,1.0,1.0,1.0,0.9962287049096797,1.0,1.0
1.4000000000000004,1.0,1.0,1.0,1.0,1.0,1.0
1.42,1.0,1.0,1.0,1.0,1.0,1.0
1.4399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
1.4600000000000009,1.0,1.0,1.0,1.0,1.0,1.0
1.4800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
1.5,1.0,1.0,1.0,1.0,1.0,1.0
1.5199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
1.540000000000001,1.0,1.0,1.0,1.0,1.0,1.0
1.5600000000000005,1.0,1.0,1.0,1.0,1.0,1.0
1.58,1.0,1.0,1.0,1.0,1.0,1.0
1.5999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
